Unnamed: 0,房別,總房租,繳費狀態,繳費日期1,繳費日期2,繳費日期3,繳費日期4,繳費日期5,費用1,費用2,費用3,費用4,費用5
0,53-101,未計算,未繳,,,,,,,,,,
1,53-102,未計算,未繳,2020/12/25,2020/12/25,2020/12/25,2020/12/25,2020/12/25,8730,52940,7810,8710,8710
2,53-103,未計算,未繳,,,,,,,,,,
3,53-201,未計算,未繳,,,,,,,,,,
4,53-202,未計算,未繳,,,,,,,,,,
5,53-203,未計算,未繳,,,,,,,,,,
6,53-301,未計算,未繳,,,,,,,,,,
7,53-302,未計算,未繳,,,,,,,,,,
8,53-303,未計算,未繳,,,,,,,,,,
9,53-401,未計算,未繳,,,,,,,,,,
10,53-402,未計算,未繳,,,,,,,,,,
11,53-403,未計算,未繳,,,,,,,,,,
12,53-501,未計算,未繳,,,,,,,,,,
13,中興路5-1,未計算,未繳,,,,,,,,,,
14,中興路5-2,未計算,未繳,,,,,,,,,,
15,中興路5-3,未計算,未繳,,,,,,,,,,
16,中興路6-1,未計算,未繳,,,,,,,,,,
17,中興路6-2,未計算,未繳,,,,,,,,,,
18,中興路6-3,未計算,未繳,,,,,,,,,,
19,龍新新村95-3F,未計算,未繳,,,,,,,,,,
20,龍新新村95-2F,未計算,未繳,,,,,,,,,,
21,龍新新村95-1F,未計算,未繳,,,,,,,,,,
22,中興路150弄6號5樓,未計算,未繳,,,,,,,,,,
23,中興路150弄6號6樓601室,未計算,未繳,,,,,,,,,,